"site","julian","date","depth_ft","min","flow10","flow25","flow50","flow75","flow90","max","Nobs","startYr","endYr","date2","month"
"5758203",13,"Jan-14",NA,58.46,58.46,58.46,58.46,58.46,58.46,58.46,1,2011,2024,2024-01-14,NA
"5758203",14,"Jan-15",NA,58.44,58.444,58.45,58.46,58.545,58.596,58.63,3,2011,2024,2024-01-15,NA
"5758203",15,"Jan-16",NA,73.58,73.58,73.58,73.58,73.58,73.58,73.58,1,2011,2024,2024-01-16,NA
"5758203",16,"Jan-17",76.28,58.9,59.266,59.815,62.6,67.88,72.92,76.28,4,2011,2024,2024-01-17,"Jan"
"5758203",17,"Jan-18",NA,58.79,58.812,58.845,58.9,59.2,59.38,59.5,3,2011,2024,2024-01-18,NA
"5758203",19,"Jan-20",NA,59.76,59.76,59.76,59.76,59.76,59.76,59.76,1,2011,2024,2024-01-20,NA
"5758203",27,"Jan-28",NA,58.47,58.47,58.47,58.47,58.47,58.47,58.47,1,2011,2024,2024-01-28,NA
"5758203",28,"Jan-29",NA,58.46,58.509,58.5825,58.705,58.8275,58.901,58.95,2,2011,2024,2024-01-29,NA
"5758203",29,"Jan-30",NA,78.19,78.19,78.19,78.19,78.19,78.19,78.19,1,2011,2024,2024-01-30,NA
"5758203",30,"Jan-31",74.79,58.44,58.58,58.79,58.9,60.44,69.05,74.79,5,2011,2024,2024-01-31,"Jan"
"5758203",31,"Feb-01",NA,58.84,59.022,59.295,59.75,59.81,59.846,59.87,3,2011,2024,2024-02-01,NA
"5758203",42,"Feb-12",NA,58.47,58.499,58.5425,58.615,58.6875,58.731,58.76,2,2011,2024,2024-02-12,NA
"5758203",43,"Feb-13",NA,58.46,60.176,62.75,67.04,71.33,73.904,75.62,2,2011,2024,2024-02-13,NA
"5758203",44,"Feb-14",NA,58.45,58.494,58.56,58.67,58.78,58.846,58.89,2,2011,2024,2024-02-14,NA
"5758203",45,"Feb-15",76.62,58.86,60.3,62.46,66.06,71.34,74.508,76.62,3,2011,2024,2024-02-15,"Feb"
"5758203",46,"Feb-16",NA,58.8,59.07,59.475,60.15,60.495,60.702,60.84,3,2011,2024,2024-02-16,NA
"5758203",47,"Feb-17",NA,59.78,59.78,59.78,59.78,59.78,59.78,59.78,1,2011,2024,2024-02-17,NA
"5758203",53,"Feb-23",NA,58.46,58.46,58.46,58.46,58.46,58.46,58.46,1,2011,2024,2024-02-23,NA
"5758203",56,"Feb-26",NA,58.46,58.558,58.705,58.95,59.325,59.55,59.7,3,2011,2024,2024-02-26,NA
"5758203",57,"Feb-27",NA,78.3,78.3,78.3,78.3,78.3,78.3,78.3,1,2011,2024,2024-02-27,NA
"5758203",58,"Feb-28",75.66,58.44,58.578,58.785,59.275,63.6525,70.857,75.66,4,2011,2024,2024-02-28,"Feb"
"5758203",59,"Feb-29",NA,58.47,58.602,58.8,58.85,60.84,64.356,66.7,5,2011,2024,2024-02-29,NA
"5758203",60,"Mar-01",NA,59.76,59.76,59.76,59.76,59.76,59.76,59.76,1,2011,2024,2024-03-01,NA
"5758203",71,"Mar-12",NA,58.89,58.89,58.89,58.89,58.89,58.89,58.89,1,2011,2024,2024-03-12,NA
"5758203",73,"Mar-14",76.02,58.86,59.622,60.765,64.675,69.9675,73.599,76.02,4,2011,2024,2024-03-14,"Mar"
"5758203",74,"Mar-15",NA,58.81,58.988,59.255,59.7,60.275,60.62,60.85,3,2011,2024,2024-03-15,NA
"5758203",75,"Mar-16",NA,58.45,58.458,58.47,58.77,59.79,71.046,78.55,5,2011,2024,2024-03-16,NA
"5758203",76,"Mar-17",NA,58.45,58.45,58.45,58.45,58.45,58.45,58.45,1,2011,2024,2024-03-17,NA
"5758203",87,"Mar-28",NA,58.86,58.872,58.89,60.025,62.5875,65.175,66.9,4,2011,2024,2024-03-28,NA
"5758203",88,"Mar-29",78.81,58.81,59.32,60.085,61.36,70.085,75.32,78.81,3,2011,2024,2024-03-29,"Mar"
"5758203",89,"Mar-30",NA,58.47,58.474,58.48,58.49,68.09,73.85,77.69,3,2011,2024,2024-03-30,NA
"5758203",90,"Mar-31",NA,58.45,58.519,58.6225,59.2,59.7275,59.741,59.75,4,2011,2024,2024-03-31,NA
"5758203",100,"Apr-10",NA,58.87,58.87,58.87,58.87,58.87,58.87,58.87,1,2011,2024,2024-04-10,NA
"5758203",101,"Apr-11",NA,58.89,58.89,58.89,58.89,58.89,58.89,58.89,1,2011,2024,2024-04-11,NA
"5758203",102,"Apr-12",NA,58.81,58.81,58.81,58.81,58.81,58.81,58.81,1,2011,2024,2024-04-12,NA
"5758203",103,"Apr-13",NA,61.26,61.26,61.26,61.26,61.26,61.26,61.26,1,2011,2024,2024-04-13,NA
"5758203",104,"Apr-14",NA,58.46,58.591,58.7875,59.115,59.4425,59.639,59.77,2,2011,2024,2024-04-14,NA
"5758203",105,"Apr-15",NA,58.48,58.556,58.67,59.73,69.76,76.102,80.33,5,2011,2024,2024-04-15,NA
"5758203",106,"Apr-16",77.85,62.06,63.639,66.0075,69.955,73.9025,76.271,77.85,2,2011,2024,2024-04-16,"Apr"
"5758203",107,"Apr-17",NA,58.45,58.45,58.45,58.45,58.45,58.45,58.45,1,2011,2024,2024-04-17,NA
"5758203",115,"Apr-25",NA,58.87,58.87,58.87,58.87,58.87,58.87,58.87,1,2011,2024,2024-04-25,NA
"5758203",117,"Apr-27",NA,62.23,62.23,62.23,62.23,62.23,62.23,62.23,1,2011,2024,2024-04-27,NA
"5758203",118,"Apr-28",NA,58.47,58.54,58.645,58.82,59.3,59.588,59.78,3,2011,2024,2024-04-28,NA
"5758203",119,"Apr-29",NA,58.48,58.519,58.5775,59.165,65.3,75.344,82.04,4,2011,2024,2024-04-29,NA
"5758203",120,"Apr-30",80.25,58.9,59.746,61.015,66.09,72.9075,77.313,80.25,4,2011,2024,2024-04-30,"Apr"
"5758203",121,"May-01",NA,58.46,58.46,58.46,58.46,58.46,58.46,58.46,1,2011,2024,2024-05-01,NA
"5758203",132,"May-12",NA,58.47,58.47,58.47,58.47,58.47,58.47,58.47,1,2011,2024,2024-05-12,NA
"5758203",133,"May-13",NA,58.47,58.594,58.78,59.09,59.4,59.586,59.71,2,2011,2024,2024-05-13,NA
"5758203",134,"May-14",NA,80.32,80.32,80.32,80.32,80.32,80.32,80.32,1,2011,2024,2024-05-14,NA
"5758203",135,"May-15",NA,58.46,58.608,58.83,58.91,61.81,67.174,70.75,5,2011,2024,2024-05-15,NA
"5758203",136,"May-16",80.59,58.87,59.056,59.335,59.8,70.195,76.432,80.59,3,2011,2024,2024-05-16,"May"
"5758203",137,"May-17",NA,58.59,58.999,59.6125,60.635,61.6575,62.271,62.68,2,2011,2024,2024-05-17,NA
"5758203",146,"May-26",NA,58.48,58.48,58.48,58.48,58.48,58.48,58.48,1,2011,2024,2024-05-26,NA
"5758203",147,"May-27",NA,58.48,58.605,58.7925,59.105,59.4175,59.605,59.73,2,2011,2024,2024-05-27,NA
"5758203",149,"May-29",NA,58.46,58.548,58.68,58.9,69.405,75.708,79.91,3,2011,2024,2024-05-29,NA
"5758203",150,"May-30",81.97,58.83,58.845,58.8675,64.28,72.7525,78.283,81.97,4,2011,2024,2024-05-30,"May"
"5758203",151,"May-31",NA,62.2,62.34,62.55,62.9,63.25,63.46,63.6,2,2011,2024,2024-05-31,NA
"5758203",152,"Jun-01",NA,58.6,58.715,58.8875,59.175,59.4625,59.635,59.75,2,2011,2024,2024-06-01,NA
"5758203",164,"Jun-13",NA,58.89,58.892,58.895,58.9,64.76,68.276,70.62,3,2011,2024,2024-06-13,NA
"5758203",165,"Jun-14",82.01,62.55,64.496,67.415,72.28,77.145,80.064,82.01,2,2011,2024,2024-06-14,"Jun"
"5758203",166,"Jun-15",NA,58.83,59.956,61.645,64.46,72.03,76.572,79.6,3,2011,2024,2024-06-15,NA
"5758203",167,"Jun-16",NA,58.47,58.486,58.51,58.63,59.73,59.766,59.79,5,2011,2024,2024-06-16,NA
"5758203",168,"Jun-17",NA,58.48,58.48,58.48,58.48,58.48,58.48,58.48,1,2011,2024,2024-06-17,NA
"5758203",178,"Jun-27",NA,58.89,58.894,58.9,58.91,64.7,68.174,70.49,3,2011,2024,2024-06-27,NA
"5758203",179,"Jun-28",81.83,62.87,64.766,67.61,72.35,77.09,79.934,81.83,2,2011,2024,2024-06-28,"Jun"
"5758203",180,"Jun-29",NA,58.48,58.483,58.4875,58.665,64.0825,73.519,79.81,4,2011,2024,2024-06-29,NA
"5758203",181,"Jun-30",NA,58.46,58.844,59.42,59.805,61.125,63.384,64.89,4,2011,2024,2024-06-30,NA
"5758203",182,"Jul-01",NA,58.64,58.64,58.64,58.64,58.64,58.64,58.64,1,2011,2024,2024-07-01,NA
"5758203",194,"Jul-13",82.91,65.43,67.178,69.8,74.17,78.54,81.162,82.91,2,2011,2024,2024-07-13,"Jul"
"5758203",195,"Jul-14",NA,58.54,58.551,58.5675,58.595,58.6225,58.639,58.65,2,2011,2024,2024-07-14,NA
"5758203",196,"Jul-15",NA,58.48,58.607,58.7975,59.115,59.4325,59.623,59.75,2,2011,2024,2024-07-15,NA
"5758203",197,"Jul-16",NA,62.89,64.668,67.335,71.78,75.805,78.22,79.83,3,2011,2024,2024-07-16,NA
"5758203",198,"Jul-17",NA,58.46,58.503,58.5675,58.675,58.7825,58.847,58.89,2,2011,2024,2024-07-17,NA
