"site","julian","date","depth_ft","status","colorStatus"
"5758203",13,2022-01-13,58.46,"Extremely Wet","navy"
"5758203",27,2022-01-27,58.47,"Extremely Wet","navy"
"5758203",43,2022-02-12,58.46,"Extremely Wet","navy"
"5758203",59,2022-02-28,58.47,"Extremely Wet","navy"
"5758203",75,2022-03-16,58.47,"Very Wet","blue"
"5758203",89,2022-03-30,58.49,"Moderately Dry","orange"
"5758203",104,2022-04-14,58.46,"Extremely Wet","navy"
"5758203",118,2022-04-28,58.47,"Extremely Wet","navy"
"5758203",132,2022-05-12,58.47,"Extremely Wet","navy"
"5758203",147,2022-05-27,58.48,"Extremely Wet","navy"
"5758203",167,2022-06-16,58.51,"Very Wet","blue"
"5758203",180,2022-06-29,58.49,"Moderately Wet","cornflowerblue"
"5758203",195,2022-07-14,58.54,"Extremely Wet","navy"
"5758203",209,2022-07-28,58.56,"Extremely Wet","navy"
"5758203",228,2022-08-16,58.61,"Very Wet","blue"
"5758203",242,2022-08-30,58.67,"Moderately Wet","cornflowerblue"
"5758203",258,2022-09-15,58.65,"Very Wet","blue"
"5758203",272,2022-09-29,58.64,"Extremely Wet","navy"
"5758203",287,2022-10-14,58.74,"Extremely Dry","darkred"
"5758203",300,2022-10-27,58.83,"Extremely Wet","navy"
"5758203",319,2022-11-15,58.97,"Moderately Dry","orange"
"5758203",334,2022-11-30,59.25,"Moderately Dry","orange"
"5758203",348,2022-12-14,59.21,"Extremely Dry","darkred"
"5758203",362,2022-12-28,58.86,"Extremely Dry","darkred"
"5758203",17,2023-01-17,59.5,"Extremely Dry","darkred"
"5758203",30,2023-01-30,60.44,"Extremely Dry","darkred"
"5758203",46,2023-02-15,60.15,"Moderately Dry","orange"
"5758203",58,2023-02-27,59.65,"Extremely Dry","darkred"
"5758203",73,2023-03-14,61.4,"Moderately Dry","orange"
"5758203",88,2023-03-29,61.36,"Extremely Dry","darkred"
"5758203",103,2023-04-13,61.26,"Extremely Wet","navy"
"5758203",117,2023-04-27,62.23,"Extremely Wet","navy"
"5758203",137,2023-05-17,62.68,"Extremely Dry","darkred"
"5758203",151,2023-05-31,63.6,"Extremely Dry","darkred"
"5758203",166,2023-06-15,64.46,"Moderately Dry","orange"
"5758203",181,2023-06-30,64.89,"Extremely Dry","darkred"
"5758402",13,2022-01-13,184.65,"Extremely Wet","navy"
"5758402",27,2022-01-27,184.69,"Extremely Wet","navy"
"5758402",42,2022-02-11,184.5,"Extremely Dry","darkred"
"5758402",59,2022-02-28,183.52,"Extremely Dry","darkred"
"5758402",75,2022-03-16,184.58,"Extremely Dry","darkred"
"5758402",89,2022-03-30,185.25,"Extremely Dry","darkred"
"5758402",104,2022-04-14,185.51,"Extremely Dry","darkred"
"5758402",118,2022-04-28,185.34,"Extremely Dry","darkred"
"5758402",132,2022-05-12,185.42,"Extremely Wet","navy"
"5758402",147,2022-05-27,185.73,"Extremely Dry","darkred"
"5758402",167,2022-06-16,186.99,"Extremely Dry","darkred"
"5758402",180,2022-06-29,187.75,"Extremely Dry","darkred"
"5758402",195,2022-07-14,188.67,"Extremely Dry","darkred"
"5758402",209,2022-07-28,189.12,"Extremely Wet","navy"
"5758402",228,2022-08-16,190.41,"Extremely Dry","darkred"
"5758402",242,2022-08-30,190.18,"Extremely Dry","darkred"
"5758402",258,2022-09-15,190.24,"Extremely Dry","darkred"
"5758402",272,2022-09-29,190.72,"Extremely Dry","darkred"
"5758402",287,2022-10-14,191.23,"Extremely Dry","darkred"
"5758402",300,2022-10-27,191.42,"Extremely Wet","navy"
"5758402",319,2022-11-15,191.65,"Extremely Dry","darkred"
"5758402",334,2022-11-30,191.31,"Extremely Dry","darkred"
"5758402",348,2022-12-14,191.38,"Extremely Dry","darkred"
"5758402",362,2022-12-28,191.63,"Extremely Dry","darkred"
"5758402",17,2023-01-17,192.08,"Extremely Dry","darkred"
"5758402",30,2023-01-30,191.94,"Extremely Dry","darkred"
"5758402",46,2023-02-15,192.37,"Extremely Dry","darkred"
"5758402",58,2023-02-27,192.82,"Extremely Dry","darkred"
"5758402",73,2023-03-14,193.17,"Extremely Dry","darkred"
"5758402",88,2023-03-29,193.37,"Extremely Dry","darkred"
"5758402",103,2023-04-13,193.66,"Extremely Wet","navy"
"5758402",117,2023-04-27,193.73,"Extremely Wet","navy"
"5758402",137,2023-05-17,194.03,"Extremely Dry","darkred"
"5758402",151,2023-05-31,194.25,"Extremely Dry","darkred"
"5758402",166,2023-06-15,194.88,"Extremely Dry","darkred"
"5758402",181,2023-06-30,195.68,"Extremely Dry","darkred"
"6801314",13,2022-01-13,177.4,"Extremely Dry","darkred"
"6801314",27,2022-01-27,177.11,"Extremely Wet","navy"
"6801314",42,2022-02-11,175.52,"Extremely Dry","darkred"
"6801314",59,2022-02-28,175.97,"Extremely Dry","darkred"
"6801314",75,2022-03-16,176.12,"Extremely Dry","darkred"
"6801314",89,2022-03-30,176.29,"Extremely Dry","darkred"
"6801314",104,2022-04-14,175.36,"Extremely Dry","darkred"
"6801314",118,2022-04-28,174.44,"Extremely Dry","darkred"
"6801314",132,2022-05-12,174.57,"Extremely Wet","navy"
"6801314",147,2022-05-27,173.98,"Extremely Dry","darkred"
"6801314",167,2022-06-16,172.73,"Extremely Dry","darkred"
"6801314",180,2022-06-29,172.34,"Moderately Dry","orange"
"6801314",195,2022-07-14,170.85,"Extremely Dry","darkred"
"6801314",209,2022-07-28,170.41,"Extremely Wet","navy"
"6801314",228,2022-08-16,169.67,"Moderately Dry","orange"
"6801314",242,2022-08-30,170.45,"Moderately Dry","orange"
"6801314",258,2022-09-15,171.28,"Very Dry","red"
"6801314",272,2022-09-29,170.41,"Extremely Dry","darkred"
